stars;acc;pp
1.3;0.9728265719884368;67.0174
1.3;0.9727179248394544;66.964
1.3;0.9726519604990008;66.9315
1.3;0.9725006305414896;66.857
1.3;0.9723919833925072;66.8035
1.3;0.9723337795626952;66.7749
1.3;0.9720505209242768;66.6355
1.3;0.9716081718177056;66.4177
1.3;0.971425799817628;66.328
1.3;0.9713714762431368;66.3012
1.3;0.9713559552218536;66.2936
1.3;0.971212385774984;66.2229
1.3;0.9711503016898512;66.1924
1.3;0.971134780668568;66.1847
1.3;0.9710920978600391;66.1637
1.3;0.971076576838756;66.1561
1.3;0.9708903245833576;66.0644
1.3;0.9708321207535456;66.0358
1.3;0.9707739169237336;66.0071
1.3;0.970727353859884;65.9842
1.3;0.9706536290087888;65.9479
1.3;0.9704052926682576;65.8257
1.3;0.9702112799022176;65.7302
1.3;0.9701918786256135;65.7206
1.3;0.9699939856042528;65.6232
1.3;0.9697495295190424;65.5098
1.3;0.9697301282424383;65.5007
1.3;0.9697029664551927;65.4881
1.3;0.9696525231360223;65.4647
1.3;0.9695128339444735;65.3997
1.3;0.9693071804124711;65.3041
1.3;0.9691480899443183;65.2302
1.3;0.9690549638166192;65.1869
1.3;0.9689851192208447;65.1544
1.3;0.9679529713055119;64.6746
1.3;0.9677317967522263;64.5718
1.3;0.9676735929224143;64.5448
1.3;0.9676153890926023;64.5177
1.3;0.9674019750499583;64.4185
1.3;0.9673942145393167;64.4149
1.3;0.9671575189647479;64.3049
1.3;0.9671225966668607;64.2886
1.3;0.9670915546242943;64.2742
1.3;0.9670837941136526;64.2706
1.3;0.9669479851774246;64.2075
1.3;0.9669053023688958;64.1876
1.3;0.966823817007159;64.1497
1.3;0.9666530857730439;64.0704
1.3;0.9666142832198359;64.0523
1.3;0.9665754806666279;64.0343
1.3;0.9662029761558311;63.8611
1.3;0.9661408920706982;63.8323
1.3;0.9661137302834526;63.8197
1.3;0.9660826882408863;63.8052
1.3;0.9657955493471471;63.6717
1.3;0.965679141687523;63.6176
1.3;0.9655743747938614;63.5689
1.3;0.9654502066235958;63.5112
1.3;0.9653958830491046;63.486
1.3;0.9653532002405758;63.4661
1.3;0.9652484333469142;63.4174
1.3;0.9647323593892478;63.1775
1.3;0.9646469937721902;63.1378
1.3;0.9645111848359622;63.0747
1.3;0.9644840230487166;63.0621
1.3;0.964243447218827;62.9502
1.3;0.9641968841549774;62.9286
1.3;0.9639989911336166;62.8366
1.3;0.963952428069767;62.815
1.3;0.963816619133539;62.7518
1.3;0.9637079719845566;62.7013
1.3;0.963583803814291;62.6436
1.3;0.9635527617717246;62.6292
1.3;0.9634208330908174;62.5679
1.3;0.9631220534311158;62.429
1.3;0.9629978852608502;62.3712
1.3;0.9628543158139805;62.3045
1.3;0.9626680635585821;62.2179
1.3;0.9626641833032613;62.2161
1.3;0.9620937857711037;61.951
1.3;0.9620394621966125;61.9257
1.3;0.9618842519837806;61.8536
1.3;0.9618609704518557;61.8428
1.3;0.9618066468773645;61.8175
1.3;0.9617135207496653;61.7742
1.3;0.9616203946219661;61.7309
1.3;0.961352657004831;61.6065
1.3;0.9609801524940341;61.4333
1.3;0.9609452301961469;61.4171
1.3;0.9609335894301845;61.4117
1.3;0.9605921269619541;61.2529
1.3;0.9604795995576509;61.2006
1.3;0.9604563180257261;61.1898
1.3;0.9603127485788565;61.1231
1.3;0.9602545447490445;61.096
1.3;0.9602390237277613;61.0888
1.3;0.9602157421958365;61.078
1.3;0.9601497778553829;61.0473
1.3;0.9597927943658693;60.8995
1.3;0.9597539918126613;60.8848
1.3;0.9597268300254157;60.8746
1.3;0.9595172962380925;60.7955
1.3;0.9592029955571076;60.6769
1.3;0.9589857012591428;60.5949
1.3;0.9585782744504588;60.4412
1.3;0.9585006693440429;60.4119
1.3;0.9584075432163436;60.3768
1.3;0.9580272781949052;60.2333
1.3;0.9579845953863764;60.2172
1.3;0.9578410259395068;60.163
1.3;0.9578255049182236;60.1571
1.3;0.9577323787905244;60.122
1.3;0.9576392526628252;60.0868
1.3;0.9575189647478805;60.0415
1.3;0.95746852142871;60.0224
1.3;0.9573171914711988;59.9653
1.3;0.957099897173234;59.8833
1.3;0.9569873697689308;59.8409
1.3;0.956517858875114;59.6637
1.3;0.9565062181091516;59.6593
1.3;0.9552296141086083;59.1776
1.3;0.9551946918107211;59.1644
1.3;0.9547989057679995;59.015
1.3;0.954053896746406;58.7339
1.3;0.9539646508740275;58.7002
1.3;0.9535417030440603;58.5406
1.3;0.9534485769163611;58.5055
1.3;0.9532894864482083;58.4455
1.3;0.9531653182779427;58.3986
1.3;0.9530101080651107;58.34
1.3;0.9528083347884291;58.2639
1.3;0.9527811730011835;58.2536
1.3;0.9526841666181635;58.217
1.3;0.9526376035543139;58.1995
1.3;0.9526026812564267;58.1863
1.3;0.9523077818520459;58.075
1.3;0.9522728595541586;58.0618
1.3;0.9520982480647227;57.9959
1.3;0.9517102225326427;57.8495
1.3;0.9515200900219234;57.7778
1.3;0.9512096695962594;57.6606
1.3;0.9511747472983723;57.6475
1.3;0.950965213511049;57.5684
1.3;0.9506974758939138;57.4674
1.3;0.9506586733407059;57.4527
1.3;0.9500029101914906;57.2053
1.3;0.9496381661913353;57.0815
1.3;0.9495993636381274;57.0683
1.3;0.9492695419358593;56.9565
1.3;0.9486487010845314;56.746
1.3;0.9482994781056594;56.6276
1.3;0.9481675494247521;56.5828
1.3;0.9480627825310906;56.5473
1.3;0.9478687697650505;56.4815
1.3;0.9471897250839105;56.2513
1.3;0.9469413887433793;56.1671
1.3;0.9469142269561337;56.1579
1.3;0.9468288613390761;56.1289
1.3;0.9467784180199057;56.1118
1.3;0.9466542498496401;56.0697
1.3;0.9458161147003473;55.7855
1.3;0.945412568146984;55.6487
1.3;0.9452573579341521;55.5961
1.3;0.9448227693382224;55.4555
1.3;0.944364899210368;55.3178
1.3;0.944364899210368;55.3178
1.3;0.9437518188696816;55.1334
1.3;0.9435810876355665;55.082
1.3;0.9434219971674136;55.0342
1.3;0.9430805346991832;54.9315
1.3;0.9427701142735192;54.8381
1.3;0.9421686746987952;54.6572
1.3;0.9420212249966048;54.6128
1.3;0.9417961701879983;54.5452
1.3;0.9417884096773568;54.5428
1.3;0.9415633548687503;54.4751
1.3;0.9415012707836176;54.4565
1.3;0.9412568146984072;54.3829
1.3;0.940892070698252;54.2732
1.3;0.9408881904429311;54.272
1.3;0.9407756630386279;54.2382
1.3;0.9406864171662496;54.2114
1.3;0.9403139126554527;54.0993
1.3;0.9400345342723552;54.0153
1.3;0.9399957317191471;54.0036
1.3;0.9399685699319015;53.9954
1.3;0.9399336476340143;53.9849
1.3;0.9399297673786935;53.9838
1.3;0.9396193469530295;53.8904
1.3;0.9392623634635159;53.783
1.3;0.9392041596337039;53.7655
1.3;0.9389053799740023;53.6756
1.3;0.9386764449100751;53.6068
1.3;0.9378305492501406;53.3523
1.3;0.9367246764837126;53.0197
1.3;0.9366858739305046;53.008
1.3;0.9366121490794094;52.9859
1.3;0.9359175833769862;52.777
1.3;0.9356149234619638;52.6859
1.3;0.9350251246532022;52.5085
1.3;0.9345672545253477;52.3708
1.3;0.9343848825252702;52.3159
1.3;0.9340938633762101;52.2284
1.3;0.9339890964825486;52.1969
1.3;0.9331315600566518;51.939
1.3;0.9327202529926469;51.8152
1.3;0.9321847777583765;51.6542
1.3;0.9320179267795821;51.604
1.3;0.9319597229497701;51.5865
1.3;0.9311565100983644;51.3449
1.3;0.9302446500979764;51.0706
1.3;0.9297052946083852;50.9084
1.3;0.9295578449061949;50.864
1.3;0.9293715926507964;50.808
1.3;0.9293056283103428;50.7882
1.3;0.9292978677997012;50.7858
1.3;0.9282463186077644;50.4695
1.3;0.9280445453310828;50.4088
1.3;0.92759443571387;50.2735
1.3;0.927361620394622;50.2034
1.3;0.9271132840540908;50.1287
1.3;0.9268377859263139;50.0459
1.3;0.926352754011214;49.9
1.3;0.9262363463515899;49.865
1.3;0.92584832081951;49.7483
1.3;0.9257474341811691;49.7179
1.3;0.9255301398832043;49.6525
1.3;0.9252352404788236;49.5638
1.3;0.9250024251595755;49.4938
1.3;0.9249015385212347;49.4662
1.3;0.9248316939254603;49.4471
1.3;0.9244242671167763;49.3357
1.3;0.9243777040529266;49.3229
1.3;0.9241798110315659;49.2688
1.3;0.9241216072017538;49.2529
1.3;0.9240750441379043;49.2402
1.3;0.922429815881885;48.7903
1.3;0.9223716120520731;48.7744
1.3;0.9223677317967522;48.7733
1.3;0.9222590846477698;48.7436
1.3;0.9221659585200707;48.7181
1.3;0.9217740527326698;48.611
1.3;0.9212967813282114;48.4805
1.3;0.9208427914556778;48.3563
1.3;0.9207729468599034;48.3372
1.3;0.9199813747744602;48.1208
1.3;0.9193333721358865;47.9436
1.3;0.9190578740081098;47.8683
1.3;0.9189841491570145;47.8481
1.3;0.9187746153696913;47.7908
1.3;0.9186349261781426;47.7526
1.3;0.9184331529014609;47.6974
1.3;0.9181498942630425;47.62
1.3;0.9181343732417593;47.6157
1.3;0.9177424674543585;47.5086
1.3;0.9172690763052209;47.3791
1.3;0.9171681896668801;47.3515
1.3;0.9167219603049881;47.2295
1.3;0.9166831577517801;47.2189
1.3;0.9166404749432513;47.2072
1.3;0.9162058863473217;47.0884
1.3;0.9161670837941136;47.0778
1.3;0.9150728517936481;46.7786
1.3;0.9149409231127408;46.7425
1.3;0.9138893739208039;46.455
1.3;0.9138389306016336;46.4412
1.3;0.9137884872824632;46.4274
1.3;0.9131676464311351;46.2576
1.3;0.9127408183458472;46.1409
1.3;0.912279067962672;46.0146
1.3;0.9121743010690103;45.986
1.3;0.9117629940050055;45.8735
1.3;0.9116349455794192;45.8385
1.3;0.9114525735793415;45.7886
1.3;0.9105135517917079;45.5319
1.3;0.9103738626001591;45.4937
1.3;0.9102923772384223;45.4714
1.3;0.9100362803872495;45.4014
1.3;0.9098383873658886;45.3473
1.3;0.909811225578643;45.3398
1.3;0.9093378344295054;45.2104
1.3;0.9077275284713734;44.7701
1.3;0.9076964864288071;44.7616
1.3;0.9066255359602662;44.4687
1.3;0.9063461575771686;44.3923
1.3;0.9056515918747453;44.2024
1.3;0.9055856275342917;44.1844
